specimen_id,apical_dendrite_bias_x,apical_dendrite_bias_y,apical_dendrite_depth_pc_0,apical_dendrite_depth_pc_1,apical_dendrite_depth_pc_2,apical_dendrite_depth_pc_3,apical_dendrite_depth_pc_4,apical_dendrite_early_branch_path,apical_dendrite_extent_x,apical_dendrite_extent_y,apical_dendrite_frac_above_axon,apical_dendrite_frac_below_axon,apical_dendrite_frac_intersect_axon,apical_dendrite_max_branch_order,apical_dendrite_max_euclidean_distance,apical_dendrite_max_path_distance,apical_dendrite_mean_contraction,apical_dendrite_mean_diameter,apical_dendrite_mean_moments_along_max_distance_projection,apical_dendrite_num_branches,apical_dendrite_num_outer_bifurcations,apical_dendrite_soma_percentile_x,apical_dendrite_soma_percentile_y,apical_dendrite_std_moments_along_max_distance_projection,apical_dendrite_total_length,apical_dendrite_total_surface_area,axon_bias_x,axon_bias_y,axon_depth_pc_0,axon_depth_pc_1,axon_depth_pc_2,axon_depth_pc_3,axon_depth_pc_4,axon_emd_with_apical_dendrite,axon_exit_distance,axon_exit_theta,axon_extent_x,axon_extent_y,axon_frac_above_apical_dendrite,axon_frac_below_apical_dendrite,axon_frac_intersect_apical_dendrite,axon_max_branch_order,axon_max_euclidean_distance,axon_max_path_distance,axon_mean_contraction,axon_num_branches,axon_soma_percentile_x,axon_soma_percentile_y,axon_total_length,soma_aligned_dist_from_pia,soma_surface_area
17109_6201-X4328-Y6753_reg,21.31153766936177,2.306326688156332,-446.2075167965551,-75.46140324954095,-123.54990813631755,-84.7094877721125,-76.57116419746826,0.4797849676844499,291.77877903882427,240.14274203308744,0.0,0.0,1.0,5.0,290.53711515914694,320.25599627941745,0.9182926812397436,2.0000000000000004,-0.0454594280870169,31.0,0.0,0.4776657060518732,0.3112391930835735,0.1264364599495706,1907.76957861123,11986.869785814251,3.040686338586511,487.9498894045764,-133.46591689505826,44.79854093109787,885.4877628827805,210.70030667789533,873.5755331877422,36.50020490624991,0.0,0.2963634723980959,1009.4047613697109,879.1874897360785,0.4849086912411227,0.0360585052417991,0.4790328035170781,18.0,782.4893655346307,2295.547988871879,0.7759237890712428,133.0,0.4566706121068651,0.2913003043625295,32679.60146289512,755.6486344253966,0.0
17109_6301-X4756-Y24516_reg,39.59179499859283,17.363311159330806,-455.6300869201785,-68.42150446344277,-130.46100941553735,-87.5201437571204,-99.18357082437296,0.4846231972787821,255.4852385347153,181.0242876835464,0.0,0.0,1.0,5.0,276.47654113324063,309.96528142433164,0.9514198544527416,2.0000000000000004,0.0353825755209751,42.0,0.0,0.4724458204334365,0.4569659442724458,0.1299638739629866,2221.6387759835534,13958.96811512031,15.367443463929703,490.1938710137192,-289.2490846426585,14.096950766147726,575.3863072565981,66.07115352537032,620.3931880560859,39.56607558443928,0.0,0.3970548716771929,1001.4852589034052,989.5540896886824,0.5011979718058729,0.0719340279712486,0.4268680002228784,11.0,798.0031081314777,1794.2207954187843,0.7897459813304923,83.0,0.4342229899147489,0.1931799186493564,24944.239273958607,779.8038262543541,0.0
17109_6601-X4384-Y7436_reg,110.47206617984308,-7.655320684425533,-446.7131208198741,-101.0331980941528,-134.17883066164922,-111.53200599048466,-51.28799499195824,0.4988599814823986,331.0193585315129,204.9389369414785,0.0,0.0,1.0,5.0,265.2687858361782,324.2898485905765,0.92524355604926,1.863123993558777,0.0781276357723896,47.0,0.47712125471966244,0.3768115942028985,0.4680622651637144,0.1816040171204832,2541.5585563105687,14893.488671513787,28.778128354781643,212.2112030093804,-675.3586961030109,295.1901354587234,653.2190206430189,-47.46348601935288,746.1342218014523,16.07640211412302,0.0,0.2668856047185529,990.4305414544398,819.2577254929629,0.2164955417454742,0.1350986219940556,0.6484058362604701,10.0,722.1751675975654,2298.3306811479865,0.7733189101449095,79.0,0.2970818697649284,0.5112131856255067,20598.29894273519,727.8314953696902,0.0
17109_6601-X5417-Y25287_reg,20.20258501854005,-57.47895980991586,-478.5922227709625,-96.6979316618238,-166.31168799159747,-141.2600635623057,-102.94807567010416,0.6312884978007249,210.2164171573368,271.03835143108427,0.0,0.0,1.0,7.0,258.2710785008638,307.1746764327482,0.9257528346996357,1.984604618614416,0.0496264379038461,55.0,0.0,0.4716585024492652,0.5951714485654304,0.1527807624703765,3950.958678923451,24654.730599544764,5.388942684544418,454.0213496511525,-154.5727897189678,-91.28585957209232,362.8052656243797,-224.36473143888333,-81.01902879136861,58.82891486978482,0.0,0.3733773819027648,1000.5182961532108,1023.3685093416595,0.6343878954607978,0.0522696011004126,0.3133425034387895,10.0,812.5724052193991,1876.9075805079376,0.8243506181157878,63.0,0.4607977991746905,0.2103622191655204,15185.71830863733,753.7963127359244,0.0
17109_6801-X7432-Y4405_reg,51.96647333120018,-108.82992311163856,-324.42915145605264,-268.09775209256213,-149.51769421847524,-196.75469367495836,127.49696373740262,0.4896294910716634,352.74025553212414,259.72405854559804,0.0,0.0,1.0,8.0,303.5501532877225,356.45438260653856,0.9101066431064976,2.0000000000000004,0.0801278412705656,57.0,0.3010299956639812,0.4363093014568546,0.6817332835263354,0.1504216631950961,3684.2955736666295,23149.111815769,11.783059887045964,192.2079534671085,-475.9352988127458,80.04171520914026,302.2002964195148,-372.7229229358368,27.08749292673089,32.53645277416254,0.0,0.2574376879270376,937.9712070933748,887.73689776875,0.2990799716914367,0.1766454352441613,0.5242745930644019,9.0,632.7911948982054,1489.4619102380343,0.8132569162141856,39.0,0.3196036801132342,0.6474168435951876,9805.61218440528,616.7662002964234,0.0
17109_6901-X7203-Y26714_reg,262.99354990114824,-37.63747923045048,-475.4852517414436,-130.44983528186955,-174.54526455378164,-170.80584742653537,-45.85366709395162,0.5526012054430232,478.02276509046345,237.21778555550736,0.0,0.0,1.0,12.0,371.90206332043925,408.2583006014951,0.8874147276766303,2.0000000000000004,0.1787515540011554,68.0,0.6020599913279624,0.2354438434616608,0.5093859370028635,0.2004415671259541,4321.808681993842,27154.724811144955,16.85023239554465,365.8627387990109,-423.3124492557272,68.03338889483673,484.4213694485434,-355.8117159988997,367.7744022839636,28.952744913922945,0.0,0.3844171497227002,988.9043668923836,812.6684941370713,0.3483084758093852,0.083666787922881,0.5680247362677338,15.0,732.7706258786567,2109.60861025218,0.7927810652365659,65.0,0.3538559476173153,0.476536922517279,15270.047565804613,734.0298951346958,0.0
17109_7001-X5738-Y6470_reg,53.116188162247454,-15.457410634497135,-483.818692066965,-77.49634709437217,-164.92923151087064,-127.8704958718874,-135.51467387745214,0.5485976680362354,253.4954571408407,248.2508952887765,0.0,0.0,1.0,5.0,203.4870508509077,303.6037725352316,0.9271406924500036,2.0000000000000004,0.0219038573833275,57.0,0.0,0.4843294460641399,0.64067055393586,0.1563920658306765,3783.2610570942734,23770.93028715947,287.58265656086314,191.91410103577076,-685.2017305517693,185.01716745867336,373.39730633568826,-288.8545839459658,153.7232185327295,14.21582193715889,0.0,0.4135918966175262,642.870841957928,599.2108793686875,0.2747005100225358,0.1228798481793381,0.602419641798126,11.0,601.1239383372379,1354.1395940569637,0.8231248608385955,41.0,0.2260427744298712,0.4266808460356847,11760.71385634572,782.0974420111424,0.0
17109_7001-X6205-Y5194_reg,51.4572372889852,-65.56189870727758,-181.06791455581552,-77.84913216005064,-93.5658416345695,-98.87633623866554,-199.89286931631528,0.698303562212536,268.47268036330934,244.4283569228064,0.0,0.0,1.0,6.0,193.73203982821107,238.5400733116821,0.8887023730237613,2.0,0.2767705188786246,32.0,0.6989700043360189,0.387400434467777,0.8312816799420709,0.2898897899496222,1902.354068618517,11952.843132997155,27.40295277238056,-96.7507731245272,-397.2199665621416,-90.89975826520092,163.39778969663874,-350.7746830925147,-134.09220451288695,36.01628675689949,0.0,0.4866362417818176,1009.1479853442496,856.1471031313989,0.3040413533834586,0.3125,0.3834586466165413,9.0,698.0732080236768,1577.7332049483923,0.7798852695043488,31.0,0.387687969924812,0.6094924812030075,8876.054904097688,519.8584809795242,0.0
17300_5969-X27278-Y20820_reg,41.98789214012322,359.1288967605369,355.41235554635523,803.3476350408324,23.308915772106232,-229.5042993204067,-197.89123024726263,0.4735642185506507,360.3080820048053,570.6684603739732,0.0,0.0,1.0,11.0,499.0212969022477,611.80917010716,0.90662308363875,2.0000000000000004,0.1659637374044135,126.0,1.0413926851582251,0.3705729916498704,0.3882810250503887,0.3009047929776588,9595.70146366777,60291.570448599785,21.45728697152481,-26.19461588690501,228.36239931579445,291.9577244446159,-64.6030068906143,-385.7116121636057,-66.830301919446,34.82999628659966,0.0,0.8895854189937275,992.2098762664756,945.3961694727768,0.0,0.2208627949471677,0.7791372050528322,14.0,691.7025846023835,1826.4938562115808,0.8657563484474605,117.0,0.4958290299515373,0.4083578295066338,17385.411643343257,491.26798252338455,0.0
17543_6014-X3691-Y17288_reg,55.10770863282869,305.0245644293327,-338.8352713196516,-97.31462029477709,-154.67694245419045,-191.9784014914635,-57.73635327979081,0.6411791094122233,251.3046934173972,639.5245259313024,0.0,0.0,1.0,11.0,482.64953073322266,566.9602602254566,0.816652473338882,1.686970773012838,0.1284888958236406,53.0,0.3010299956639812,0.286533733952472,0.43266866976236,0.1753119800662095,5001.192997591223,26548.859977506047,13.542262496900548,304.90364868410416,-956.5029681312112,1161.1846901363538,1598.9419368877295,596.4848923254139,2519.46496915082,21.27377422448517,0.0,0.4124161385931988,1004.1993984401332,922.2405803994016,0.0178850384161698,0.1098606816080594,0.8722542799757708,19.0,648.6909031318386,3810.719822199655,0.7196171993573183,201.0,0.4168393534606433,0.7421493926738292,42976.69981857332,707.3818125531574,0.0
